date,pair,feature,value
2026-05-27,SPY__QQQ,cycle,-0.07614179637515185
2026-05-27,GLD__SLV,cycle,-0.3368905983400212
2026-05-28,KO__PEP,cycle,0.06279015397535093
2026-05-28,XOM__CVX,cycle,-0.032848908171689443
2026-05-28,MA__V,cycle,-0.3262014502329518
2026-05-28,SPY__QQQ,cycle,-0.07614179637515185
2026-05-28,GLD__SLV,cycle,-0.3368905983400212
2026-05-29,KO__PEP,cycle,0.06279015397535093
2026-05-29,XOM__CVX,cycle,-0.032848908171689443
2026-05-29,MA__V,cycle,-0.3262014502329518
2026-05-29,SPY__QQQ,cycle,-0.07614179637515185
2026-05-29,GLD__SLV,cycle,-0.3368905983400212
2026-05-22,KO__PEP,cycle_slope,-0.0035240941881780944
2026-05-22,XOM__CVX,cycle_slope,-0.015559818904012429
2026-05-22,MA__V,cycle_slope,-0.024183710770209126
2026-05-22,SPY__QQQ,cycle_slope,-0.017369590996989818
2026-05-22,GLD__SLV,cycle_slope,-0.009932312525300172
2026-05-26,KO__PEP,cycle_slope,-0.0035240941881780944
2026-05-26,XOM__CVX,cycle_slope,-0.015559818904012429
2026-05-26,MA__V,cycle_slope,-0.024183710770209126
2026-05-26,SPY__QQQ,cycle_slope,-0.017369590996989818
2026-05-26,GLD__SLV,cycle_slope,-0.009932312525300172
2026-05-27,KO__PEP,cycle_slope,-0.0035240941881780944
2026-05-27,XOM__CVX,cycle_slope,-0.015559818904012429
2026-05-27,MA__V,cycle_slope,-0.024183710770209126
2026-05-27,SPY__QQQ,cycle_slope,-0.017369590996989818
2026-05-27,GLD__SLV,cycle_slope,-0.009932312525300172
2026-05-28,KO__PEP,cycle_slope,-0.0035240941881780944
2026-05-28,XOM__CVX,cycle_slope,-0.015559818904012429
2026-05-28,MA__V,cycle_slope,-0.024183710770209126
2026-05-28,SPY__QQQ,cycle_slope,-0.017369590996989818
2026-05-28,GLD__SLV,cycle_slope,-0.009932312525300172
2026-05-29,KO__PEP,cycle_slope,-0.0035240941881780944
2026-05-29,XOM__CVX,cycle_slope,-0.015559818904012429
2026-05-29,MA__V,cycle_slope,-0.024183710770209126
2026-05-29,SPY__QQQ,cycle_slope,-0.017369590996989818
2026-05-29,GLD__SLV,cycle_slope,-0.009932312525300172
2026-05-22,KO__PEP,cycle_turn_up,0.0
2026-05-22,XOM__CVX,cycle_turn_up,0.0
2026-05-22,MA__V,cycle_turn_up,0.0
2026-05-22,SPY__QQQ,cycle_turn_up,0.0
2026-05-22,GLD__SLV,cycle_turn_up,0.0
2026-05-26,KO__PEP,cycle_turn_up,0.0
2026-05-26,XOM__CVX,cycle_turn_up,0.0
2026-05-26,MA__V,cycle_turn_up,0.0
2026-05-26,SPY__QQQ,cycle_turn_up,0.0
2026-05-26,GLD__SLV,cycle_turn_up,0.0
2026-05-27,KO__PEP,cycle_turn_up,0.0
2026-05-27,XOM__CVX,cycle_turn_up,0.0
2026-05-27,MA__V,cycle_turn_up,0.0
2026-05-27,SPY__QQQ,cycle_turn_up,0.0
2026-05-27,GLD__SLV,cycle_turn_up,0.0
2026-05-28,KO__PEP,cycle_turn_up,0.0
2026-05-28,XOM__CVX,cycle_turn_up,0.0
2026-05-28,MA__V,cycle_turn_up,0.0
2026-05-28,SPY__QQQ,cycle_turn_up,0.0
2026-05-28,GLD__SLV,cycle_turn_up,0.0
2026-05-29,KO__PEP,cycle_turn_up,0.0
2026-05-29,XOM__CVX,cycle_turn_up,0.0
2026-05-29,MA__V,cycle_turn_up,0.0
2026-05-29,SPY__QQQ,cycle_turn_up,0.0
2026-05-29,GLD__SLV,cycle_turn_up,0.0
2026-05-22,KO__PEP,trend_slope,-0.006534932474599664
2026-05-22,XOM__CVX,trend_slope,-0.0015320916095105997
2026-05-22,MA__V,trend_slope,-0.0014287807976462118
2026-05-22,SPY__QQQ,trend_slope,0.0011569336722216939
2026-05-22,GLD__SLV,trend_slope,0.011974000922567996
2026-05-26,KO__PEP,trend_slope,-0.006534932474599664
2026-05-26,XOM__CVX,trend_slope,-0.0015320916095105997
2026-05-26,MA__V,trend_slope,-0.0014287807976462118
2026-05-26,SPY__QQQ,trend_slope,0.0011569336722216939
2026-05-26,GLD__SLV,trend_slope,0.011974000922567996
2026-05-27,KO__PEP,trend_slope,-0.006534932474599664
2026-05-27,XOM__CVX,trend_slope,-0.0015320916095105997
2026-05-27,MA__V,trend_slope,-0.0014287807976462118
2026-05-27,SPY__QQQ,trend_slope,0.0011569336722216939
2026-05-27,GLD__SLV,trend_slope,0.011974000922567996
2026-05-28,KO__PEP,trend_slope,-0.006534932474599664
2026-05-28,XOM__CVX,trend_slope,-0.0015320916095105997
2026-05-28,MA__V,trend_slope,-0.0014287807976462118
2026-05-28,SPY__QQQ,trend_slope,0.0011569336722216939
2026-05-28,GLD__SLV,trend_slope,0.011974000922567996
2026-05-29,KO__PEP,trend_slope,-0.006534932474599664
2026-05-29,XOM__CVX,trend_slope,-0.0015320916095105997
2026-05-29,MA__V,trend_slope,-0.0014287807976462118
2026-05-29,SPY__QQQ,trend_slope,0.0011569336722216939
2026-05-29,GLD__SLV,trend_slope,0.011974000922567996
2026-05-22,KO__PEP,trend,2.0148116566089502
2026-05-22,XOM__CVX,trend,0.6937582839671426
2026-05-22,MA__V,trend,1.3679307135963714
2026-05-22,SPY__QQQ,trend,2.156007530453925
2026-05-22,GLD__SLV,trend,4.980821354620338
2026-05-26,KO__PEP,trend,2.0148116566089502
2026-05-26,XOM__CVX,trend,0.6937582839671426
2026-05-26,MA__V,trend,1.3679307135963714
2026-05-26,SPY__QQQ,trend,2.156007530453925
2026-05-26,GLD__SLV,trend,4.980821354620338
2026-05-27,KO__PEP,trend,2.0148116566089502
2026-05-27,XOM__CVX,trend,0.6937582839671426
2026-05-27,MA__V,trend,1.3679307135963714
2026-05-27,SPY__QQQ,trend,2.156007530453925
2026-05-27,GLD__SLV,trend,4.980821354620338
2026-05-28,KO__PEP,trend,2.0148116566089502
2026-05-28,XOM__CVX,trend,0.6937582839671426
2026-05-28,MA__V,trend,1.3679307135963714
2026-05-28,SPY__QQQ,trend,2.156007530453925
2026-05-28,GLD__SLV,trend,4.980821354620338
2026-05-29,KO__PEP,trend,2.0148116566089502
2026-05-29,XOM__CVX,trend,0.6937582839671426
2026-05-29,MA__V,trend,1.3679307135963714
2026-05-29,SPY__QQQ,trend,2.156007530453925
2026-05-29,GLD__SLV,trend,4.980821354620338
